Protein.Group,Protein.Names,Genes,First.Protein.Description,Bt1_DIA,Bt2_DIA,Bt3_DIA,STS1_DIA,STS2_DIA,STS3_DIA,Average Bt,Average ST,Fold Change,log2 Fold Change ST
P22307,SCP2_HUMAN,SCP2,Sterol carrier protein 2,2660000,2250000,2380000,2380000,2000000,2350000,2430000,2243333.33333333,0.92318244170096,-0.11531230971662
P22314,UBA1_HUMAN,UBA1,Ubiquitin-like modifier-activating enzyme 1,18000000,18500000,16900000,18400000,19100000,19300000,17800000,18933333.3333333,1.06367041198502,0.089051187817128
P22392,NDKB_HUMAN,NME2,Nucleoside diphosphate kinase B,38200000,37400000,37000000,39700000,39000000,34800000,37533333.3333333,37833333.3333333,1.00799289520426,0.0114854700980478
P22413,ENPP1_HUMAN,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,76741.5,98235.1,97240.9,59462.6,48123.1,114541,90739.1666666667,74042.2333333333,0.815989787577948,-0.293376998453884
P22570,ADRO_HUMAN,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",1390000,1360000,1310000,1860000,1390000,1560000,1353333.33333333,1603333.33333333,1.18472906403941,0.244557166584866
P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,39400000,32900000,36600000,43800000,36300000,29100000,36300000,36400000,1.00275482093664,0.00396890220294546
P22681,CBL_HUMAN,CBL,E3 ubiquitin-protein ligase CBL,197446,127086,147402,155137,165516,189131,157311.333333333,169928,1.08020189263753,0.11130098117183
P22694,KAPCB_HUMAN,PRKACB,cAMP-dependent protein kinase catalytic subunit beta,976628,784413,812356,932066,624110,839827,857799,798667.666666667,0.931066213258195,-0.103044325446489
P22695,QCR2_HUMAN,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",2470000,2670000,2780000,2570000,2220000,1570000,2640000,2120000,0.803030303030303,-0.316473664795254
P22830,HEMH_HUMAN,FECH,"Ferrochelatase, mitochondrial",1070000,1110000,935519,1160000,993394,993661,1038506.33333333,1049018.33333333,1.01012223003615,0.014529877133015
P23142,FBLN1_HUMAN,FBLN1,Fibulin-1,433495,476550,632508,604772,337777,893424,514184.333333333,611991,1.19021712706144,0.251224783248068
P23193,TCEA1_HUMAN,TCEA1,Transcription elongation factor A protein 1,1140000,1110000,1180000,1300000,1340000,1300000,1143333.33333333,1313333.33333333,1.14868804664723,0.199987053283564
P23229,ITA6_HUMAN,ITGA6,Integrin alpha-6,325623,325623,325623,197213,197213,197213,325623,197213,0.605648249662954,-0.723447951028988
P23246,SFPQ_HUMAN,SFPQ,"Splicing factor, proline- and glutamine-rich",18900000,18200000,18700000,20700000,19600000,14100000,18600000,18133333.3333333,0.974910394265233,-0.0366584705788482
P23258,TBG1_HUMAN,TUBG1,Tubulin gamma-1 chain,920723,753374,796600,1040000,882466,881567,823565.666666667,934677.666666667,1.13491577477934,0.182585235122454
P23284,PPIB_HUMAN,PPIB,Peptidyl-prolyl cis-trans isomerase B,8470000,8870000,8690000,7880000,8490000,7910000,8676666.66666667,8093333.33333333,0.932769880906646,-0.10040689014843
P23368,MAOM_HUMAN,ME2,"NAD-dependent malic enzyme, mitochondrial",4100000,3810000,3180000,3730000,3890000,4290000,3696666.66666667,3970000,1.07394048692516,0.102914047702404
P23378,GCSP_HUMAN,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial",98773.6,187201,98773.6,172323,172323,172323,128249.4,172323,1.34365540891419,0.426163194967189
P23381,SYWC_HUMAN,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",4340000,6350000,6050000,3990000,5580000,4530000,5580000,4700000,0.842293906810036,-0.247604365264188
P23396,RS3_HUMAN,RPS3,Small ribosomal subunit protein uS3,23100000,19000000,20200000,20900000,17500000,13100000,20766666.6666667,17166666.6666667,0.826645264847512,-0.274659730953421
P23434,GCSH_HUMAN,GCSH,"Glycine cleavage system H protein, mitochondrial",2060000,1780000,1640000,1980000,1880000,1710000,1826666.66666667,1856666.66666667,1.01642335766423,0.0235014343795051
P23443,KS6B1_HUMAN,RPS6KB1,Ribosomal protein S6 kinase beta-1,898090,645468,617019,642077,285671,542068,720192.333333333,489938.666666667,0.680288645116559,-0.555781085993221
P23526,SAHH_HUMAN,AHCY,Adenosylhomocysteinase,14900000,16100000,13000000,14800000,15100000,14200000,14666666.6666667,14700000,1.00227272727273,0.0032751320328612
P23528,COF1_HUMAN,CFL1,Cofilin-1,28200000,30000000,30500000,27700000,33400000,30900000,29566666.6666667,30666666.6666667,1.03720405862458,0.0526997566433113
P23588,IF4B_HUMAN,EIF4B,Eukaryotic translation initiation factor 4B,2780000,2610000,2840000,3080000,2750000,2590000,2743333.33333333,2806666.66666667,1.02308626974484,0.0329278026447701
P23634,AT2B4_HUMAN,ATP2B4,Plasma membrane calcium-transporting ATPase 4,712570,707682,606000,791385,727695,941574,675417.333333333,820218,1.21438695680498,0.280228200597712
P23786,CPT2_HUMAN,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",744707,676494,755077,867222,862088,748463,725426,825924.333333333,1.13853698838108,0.18718116199463
P23919,KTHY_HUMAN,DTYMK,Thymidylate kinase,2420000,2650000,2350000,2380000,2490000,2580000,2473333.33333333,2483333.33333333,1.00404312668464,0.00582123872872065
P23921,RIR1_HUMAN,RRM1,Ribonucleoside-diphosphate reductase large subunit,4330000,4730000,4470000,4570000,4620000,4790000,4510000,4660000,1.03325942350333,0.0472025213988992
P24390,ERD21_HUMAN,KDELR1,ER lumen protein-retaining receptor 1,357215,489943,621677,460993,373835,327244,489611.666666667,387357.333333333,0.791152171619004,-0.337972882963435
P24534,EF1B_HUMAN,EEF1B2,Elongation factor 1-beta,12200000,10800000,18900000,14100000,12200000,21400000,13966666.6666667,15900000,1.13842482100239,0.18703902230616
P24539,AT5F1_HUMAN,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial",4250000,4150000,4290000,4320000,4570000,3650000,4230000,4180000,0.988179669030733,-0.017154721039067
P24666,PPAC_HUMAN,ACP1,Low molecular weight phosphotyrosine protein phosphatase,6450000,6470000,6450000,6560000,7720000,6230000,6456666.66666667,6836666.66666667,1.05885389778007,0.0825035378765983
P24752,THIL_HUMAN,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",2900000,3570000,3270000,3700000,2890000,4390000,3246666.66666667,3660000,1.12731006160164,0.172884376922856
P24928,RPB1_HUMAN,POLR2A,DNA-directed RNA polymerase II subunit RPB1,558808,706125,776406,651084,612514,483854,680446.333333333,582484,0.856032241582608,-0.224262959598133
P24941,CDK2_HUMAN,CDK2,Cyclin-dependent kinase 2,1030000,973601,927771,1010000,995095,1100000,977124,1035031.66666667,1.05926337564799,0.0830613461756658
P25098,ARBK1_HUMAN,GRK2,Beta-adrenergic receptor kinase 1,121728,224982,188681,244781,148201,166345,178463.666666667,186442.333333333,1.04470751282707,0.0630990869397309
P25205,MCM3_HUMAN,MCM3,DNA replication licensing factor MCM3,6270000,5540000,5710000,6070000,6180000,7340000,5840000,6530000,1.11815068493151,0.161114622666413
P25325,THTM_HUMAN,MPST,3-mercaptopyruvate sulfurtransferase,947674,1040000,979554,964522,1100000,1140000,989076,1068174,1.07997160986618,0.110993387533537
P25398,RS12_HUMAN,RPS12,Small ribosomal subunit protein eS12,17200000,15300000,19500000,15800000,16500000,13400000,17333333.3333333,15233333.3333333,0.878846153846154,-0.186317457970385
P25440,BRD2_HUMAN,BRD2,Bromodomain-containing protein 2,696107,691402,688134,440487,706911,557246,691881,568214.666666667,0.821260688856417,-0.284087852393286
P25685,DNJB1_HUMAN,DNAJB1,DnaJ homolog subfamily B member 1,1500000,1670000,1700000,1500000,1580000,1660000,1623333.33333333,1580000,0.973305954825462,-0.0390347131840831
P25705,ATPA_HUMAN,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",21300000,22900000,23200000,21100000,21500000,22400000,22466666.6666667,21666666.6666667,0.964391691394659,-0.0523088732660416
P25786,PSA1_HUMAN,PSMA1,Proteasome subunit alpha type-1,12000000,11500000,12300000,12700000,12100000,12600000,11933333.3333333,12466666.6666667,1.04469273743017,0.0630786826233802
P25787,PSA2_HUMAN,PSMA2,Proteasome subunit alpha type-2,5660000,5890000,6820000,8570000,7660000,5750000,6123333.33333333,7326666.66666667,1.19651605879151,0.258839759837882
P25788,PSA3_HUMAN,PSMA3,Proteasome subunit alpha type-3,7370000,7470000,8480000,7710000,8540000,7570000,7773333.33333333,7940000,1.02144082332762,0.0306056246636175
P25789,PSA4_HUMAN,PSMA4,Proteasome subunit alpha type-4,7750000,8260000,8230000,7650000,8370000,8020000,8080000,8013333.33333333,0.991749174917492,-0.0119528027617656
P26038,MOES_HUMAN,MSN,Moesin,2820000,2670000,2790000,2780000,2610000,3110000,2760000,2833333.33333333,1.02657004830918,0.037832073525739
P26196,DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6,2740000,2880000,2960000,2980000,2950000,2950000,2860000,2960000,1.03496503496504,0.0495820288505604
P26368,U2AF2_HUMAN,U2AF2,Splicing factor U2AF 65 kDa subunit,6810000,6570000,5950000,6290000,6220000,6000000,6443333.33333333,6170000,0.957578892912571,-0.0625367423406617
P26373,RL13_HUMAN,RPL13,Large ribosomal subunit protein eL13,34400000,39100000,34300000,31700000,31900000,28500000,35933333.3333333,30700000,0.854359925788497,-0.22708411666117
P26440,IVD_HUMAN,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",1300000,1220000,1090000,1630000,1220000,1530000,1203333.33333333,1460000,1.21329639889197,0.278932032714003
P26583,HMGB2_HUMAN,HMGB2,High mobility group protein B2,2170000,2080000,2770000,2040000,2270000,3580000,2340000,2630000,1.12393162393162,0.168554269708898
P26599,PTBP1_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,9440000,8310000,8490000,8390000,7710000,6650000,8746666.66666667,7583333.33333333,0.866996951219512,-0.205901174644663
P26639,SYTC_HUMAN,TARS1,"Threonine--tRNA ligase 1, cytoplasmic",5430000,5530000,5740000,5290000,5850000,6540000,5566666.66666667,5893333.33333333,1.05868263473054,0.0822701720300167
P26640,SYVC_HUMAN,VARS1,Valine--tRNA ligase,3660000,3480000,3850000,3790000,3590000,4510000,3663333.33333333,3963333.33333333,1.08189262966333,0.113557328796425
P26641,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,14800000,16500000,21000000,15100000,15600000,19800000,17433333.3333333,16833333.3333333,0.965583173996176,-0.0505275586077843
P26885,FKBP2_HUMAN,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,1140000,1400000,1540000,1310000,1140000,1400000,1360000,1283333.33333333,0.943627450980392,-0.0837107063892319
P27105,STOM_HUMAN,STOM,Stomatin,229963,232517,183808,215600,185305,170289,215429.333333333,190398,0.883807219072612,-0.178196379590452
P27144,KAD4_HUMAN,AK4,"Adenylate kinase 4, mitochondrial",1390000,1920000,1580000,1190000,1790000,1520000,1630000,1500000,0.920245398773006,-0.119909463735197
P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,19900000,20100000,19700000,21400000,19800000,18100000,19900000,19766666.6666667,0.993299832495812,-0.0096988267188013
P27361,MK03_HUMAN,MAPK3,Mitogen-activated protein kinase 3,763961,765974,856245,806503,921495,972977,795393.333333333,900325,1.13192424712302,0.178777410504707
P27635,RL10_HUMAN,RPL10,Large ribosomal subunit protein uL16,12000000,12900000,11800000,10700000,11300000,8740000,12233333.3333333,10246666.6666667,0.837602179836512,-0.255662898039804
P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,20400000,21800000,24300000,20700000,22000000,22700000,22166666.6666667,21800000,0.983458646616541,-0.0240637048904696
P27695,APEX1_HUMAN,APEX1,DNA repair nuclease/redox regulator APEX1,2190000,2220000,2530000,1530000,2380000,1840000,2313333.33333333,1916666.66666667,0.828530259365994,-0.271373706746523
P27707,DCK_HUMAN,DCK,Deoxycytidine kinase,452506,419514,737807,515930,618645,686338,536609,606971,1.13112340642814,0.177756337046135
P27708,PYR1_HUMAN,CAD,Multifunctional protein CAD,8810000,8420000,8950000,9050000,8870000,9090000,8726666.66666667,9003333.33333333,1.03170359052712,0.0450285425637265
P27797,CALR_HUMAN,CALR,Calreticulin,21100000,18200000,15300000,19500000,18400000,20700000,18200000,19533333.3333333,1.07326007326007,0.101999713502395
P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,724563,674451,685580,616149,704206,673756,694864.666666667,664703.666666667,0.956594425581192,-0.0640207106400851
P27824,CALX_HUMAN,CANX,Calnexin,15700000,13800000,15300000,14200000,15800000,17500000,14933333.3333333,15833333.3333333,1.06026785714286,0.0844287811607062
P27986,P85A_HUMAN,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,70764.8,70764.8,115966,111321,111321,127571,85831.8666666667,116737.666666667,1.36007372553162,0.443684857781484
P28066,PSA5_HUMAN,PSMA5,Proteasome subunit alpha type-5,8420000,9010000,8830000,7640000,8660000,8520000,8753333.33333333,8273333.33333333,0.945163747143945,-0.0813638007625305
P28070,PSB4_HUMAN,PSMB4,Proteasome subunit beta type-4,7220000,7240000,6240000,8890000,8240000,6550000,6900000,7893333.33333333,1.143961352657,0.194038313242262
P28072,PSB6_HUMAN,PSMB6,Proteasome subunit beta type-6,9080000,10800000,8240000,8190000,10100000,10400000,9373333.33333333,9563333.33333333,1.02027027027027,0.028951373696129
P28074,PSB5_HUMAN,PSMB5,Proteasome subunit beta type-5,6390000,7300000,7780000,6720000,6800000,6830000,7156666.66666667,6783333.33333333,0.947834187238006,-0.077293396705164
P28288,ABCD3_HUMAN,ABCD3,ATP-binding cassette sub-family D member 3,894949,833739,859588,790219,869943,816018,862758.666666667,825393.333333333,0.956690862952792,-0.063875275227275
P28331,NDUS1_HUMAN,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",675544,678320,723655,702074,741009,615696,692506.333333333,686259.666666667,0.990979625216424,-0.0130726993337244
P28340,DPOD1_HUMAN,POLD1,DNA polymerase delta catalytic subunit,18300000,16900000,16100000,17300000,17100000,18800000,17100000,17733333.3333333,1.03703703703704,0.0524674198941355
P28482,MK01_HUMAN,MAPK1,Mitogen-activated protein kinase 1,1900000,1830000,2260000,2030000,2060000,1860000,1996666.66666667,1983333.33333333,0.993322203672788,-0.00966633459347992
P28676,GRAN_HUMAN,GCA,Grancalcin,337288,377666,386695,314337,322594,277077,367216.333333333,304669.333333333,0.829672608970734,-0.269385937454949
P28838,AMPL_HUMAN,LAP3,Cytosol aminopeptidase,5240000,5860000,5120000,5210000,6080000,6230000,5406666.66666667,5840000,1.08014796547472,0.1112289553839
P29083,T2EA_HUMAN,GTF2E1,General transcription factor IIE subunit 1,153751,142400,102988,144435,112472,140958,133046.333333333,132621.666666667,0.996808129498746,-0.00461226053457691
P29144,TPP2_HUMAN,TPP2,Tripeptidyl-peptidase 2,1020000,957130,798854,1080000,962026,922718,925328,988248,1.0679975100721,0.0949082835321945
P29218,IMPA1_HUMAN,IMPA1,Inositol monophosphatase 1,1420000,1550000,1490000,1700000,1440000,1640000,1486666.66666667,1593333.33333333,1.07174887892377,0.0999669080604438
P29373,RABP2_HUMAN,CRABP2,Cellular retinoic acid-binding protein 2,342820,415764,435356,350676,471905,392133,397980,404904.666666667,1.01739953431496,0.0248863389616407
P29401,TKT_HUMAN,TKT,Transketolase,14000000,13200000,12500000,14500000,15400000,14600000,13233333.3333333,14833333.3333333,1.12090680100756,0.164666328710802
P29590,PML_HUMAN,PML,Protein PML,426191,366474,466411,516441,395631,419465,419692,443845.666666667,1.05755093417713,0.0807271486550862
P29692,EF1D_HUMAN,EEF1D,Elongation factor 1-delta,4680000,4690000,7740000,5270000,5430000,8630000,5703333.33333333,6443333.33333333,1.12974868497954,0.176001877721822
P29762,RABP1_HUMAN,CRABP1,Cellular retinoic acid-binding protein 1,412246,233247,351796,314122,326282,472319,332429.666666667,370907.666666667,1.11574779226483,0.158010951925432
P29966,MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate,3680000,4170000,3770000,3190000,3410000,4250000,3873333.33333333,3616666.66666667,0.933734939759036,-0.0989150260726873
P29992,GNA11_HUMAN,GNA11,Guanine nucleotide-binding protein subunit alpha-11,329237,634172,408179,537610,651922,342361,457196,510631,1.11687547572595,0.159468343773598
P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",225644,200196,154027,237003,288743,278861,193289,268202.333333333,1.38757163280545,0.472562251913622
P30040,ERP29_HUMAN,ERP29,Endoplasmic reticulum resident protein 29,4200000,4270000,3540000,4160000,4370000,3480000,4003333.33333333,4003333.33333333,1,0
P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,24700000,23300000,25000000,24700000,24300000,25300000,24333333.3333333,24766666.6666667,1.01780821917808,0.0254657467712169
P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),3840000,2980000,3350000,3190000,3660000,3530000,3390000,3460000,1.02064896755162,0.0294867645003807
P30044,PRDX5_HUMAN,PRDX5,"Peroxiredoxin-5, mitochondrial",3850000,3970000,3990000,3260000,3900000,4040000,3936666.66666667,3733333.33333333,0.948348856900932,-0.0765102324521906
P30046,DOPD_HUMAN,DDT,D-dopachrome decarboxylase,5960000,7700000,4820000,6870000,5740000,6170000,6160000,6260000,1.01623376623377,0.0232323062377169
P30047,GFRP_HUMAN,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,350051,302540,302540,254522,263033,254522,318377,257359,0.808346708461981,-0.306953881991952
P30048,PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",13600000,16200000,13900000,14300000,15300000,13800000,14566666.6666667,14466666.6666667,0.993135011441648,-0.00993823705611902
P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial",3170000,3690000,2860000,3030000,3060000,2670000,3240000,2920000,0.901234567901235,-0.150025444004607
P30050,RL12_HUMAN,RPL12,Large ribosomal subunit protein uL11,13600000,12300000,14800000,13700000,12700000,10300000,13566666.6666667,12233333.3333333,0.901719901719902,-0.149248731423034
P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",6090000,8090000,5850000,6300000,5830000,5030000,6676666.66666667,5720000,0.856714927608587,-0.223112868313162
P30085,KCY_HUMAN,CMPK1,UMP-CMP kinase,3000000,2810000,3730000,3960000,2590000,4760000,3180000,3770000,1.18553459119497,0.245537757984309
P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,18200000,17000000,15000000,17200000,18000000,18300000,16733333.3333333,17833333.3333333,1.06573705179283,0.0918515273377372
P30101,PDIA3_HUMAN,PDIA3,Protein disulfide-isomerase A3,16100000,15900000,14100000,15100000,16200000,18200000,15366666.6666667,16500000,1.07375271149675,0.102661774537634
P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,12300000,11600000,11100000,11800000,10700000,12800000,11666666.6666667,11766666.6666667,1.00857142857143,0.0123132614388516
P30154,2AAB_HUMAN,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,551608,621426,625094,644077,570292,704666,599376,639678.333333333,1.06724048566064,0.093885301164711
P30307,MPIP3_HUMAN,CDC25C,M-phase inducer phosphatase 3,251955,156179,116055,82020,65956.5,202356,174729.666666667,116777.5,0.668332414453566,-0.58136224757841
P30405,PPIF_HUMAN,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",2870000,2780000,3640000,4110000,3050000,4160000,3096666.66666667,3773333.33333333,1.21851453175457,0.285123456449229
P30419,NMT1_HUMAN,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,1660000,1720000,1590000,1300000,1500000,1080000,1656666.66666667,1293333.33333333,0.780684104627766,-0.357189199375159
P30519,HMOX2_HUMAN,HMOX2,Heme oxygenase 2,1160000,1530000,1190000,1010000,1280000,915450,1293333.33333333,1068483.33333333,0.826146907216495,-0.275529747301271
P30520,PURA2_HUMAN,ADSS2,Adenylosuccinate synthetase isozyme 2,3820000,3290000,2640000,3430000,3600000,3070000,3250000,3366666.66666667,1.03589743589744,0.0508811690021839
P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,548051,476992,694473,523190,720889,628520,573172,624199.666666667,1.08902679591234,0.123039452543563
P30566,PUR8_HUMAN,ADSL,Adenylosuccinate lyase,2930000,3080000,3030000,2930000,2740000,2960000,3013333.33333333,2876666.66666667,0.954646017699115,-0.0669622132362329
P30626,SORCN_HUMAN,SRI,Sorcin,3270000,3520000,3560000,2560000,3200000,3310000,3450000,3023333.33333333,0.876328502415459,-0.190456311858165
P30740,ILEU_HUMAN,SERPINB1,Leukocyte elastase inhibitor,426930,452850,420134,437365,460215,473973,433304.666666667,457184.333333333,1.05511056885302,0.0773941920864344
P30825,CTR1_HUMAN,SLC7A1,High affinity cationic amino acid transporter 1,1390000,1460000,1440000,1580000,1590000,1450000,1430000,1540000,1.07692307692308,0.106915203916512
P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",1740000,1930000,1740000,1740000,2100000,2020000,1803333.33333333,1953333.33333333,1.08317929759704,0.115272070595432
P30876,RPB2_HUMAN,POLR2B,DNA-directed RNA polymerase II subunit RPB2,1250000,1340000,1220000,1270000,1310000,1400000,1270000,1326666.66666667,1.04461942257218,0.0629774330503269
P31040,SDHA_HUMAN,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",4010000,4470000,3940000,4340000,4070000,4240000,4140000,4216666.66666667,1.01851851851852,0.0264722113611912
P31146,COR1A_HUMAN,CORO1A,Coronin-1A,65142.6,55675.9,80515,77208.1,77208.1,77208.1,67111.1666666667,77208.1,1.15045086883206,0.202199373126675
P31150,GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha,1500000,1520000,1180000,1470000,1400000,1520000,1400000,1463333.33333333,1.0452380952381,0.0638316118692353
P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,11200000,9230000,11200000,10700000,10600000,13100000,10543333.3333333,11466666.6666667,1.08757508694278,0.121115009072067
P31323,KAP3_HUMAN,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,164509,173232,109040,137404,194339,140532,148927,157425,1.05706151335889,0.0800593336133248
P31350,RIR2_HUMAN,RRM2,Ribonucleoside-diphosphate reductase subunit M2,4860000,4160000,4060000,5060000,4280000,4880000,4360000,4740000,1.08715596330275,0.120558924121333
P31483,TIA1_HUMAN,TIA1,Cytotoxic granule associated RNA binding protein TIA1,290781,318279,429893,375074,432320,379721,346317.666666667,395705,1.14260702842188,0.192329309389661
P31689,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1,5490000,5680000,5410000,5270000,6080000,5720000,5526666.66666667,5690000,1.02955367913148,0.0420190515319876
P31751,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase,1670000,1580000,1410000,1290000,1300000,1260000,1553333.33333333,1283333.33333333,0.82618025751073,-0.275471509072017
P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",1410000,1940000,1720000,1430000,1470000,1440000,1690000,1446666.66666667,0.856015779092702,-0.224290704558861
P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",1190000,993438,990811,1290000,1090000,1190000,1058083,1190000,1.1246754744193,0.169508771230903
P31939,PUR9_HUMAN,ATIC,Bifunctional purine biosynthesis protein ATIC,8470000,8290000,7850000,8120000,9140000,8580000,8203333.33333333,8613333.33333333,1.04997968305567,0.0703614122357651
P31942,HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,4230000,3730000,3420000,3590000,3120000,3050000,3793333.33333333,3253333.33333333,0.857644991212654,-0.221547504743696
P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,18800000,16600000,15200000,16500000,16300000,14700000,16866666.6666667,15833333.3333333,0.938735177865613,-0.0912098714759999
P31946,1433B_HUMAN,YWHAB,14-3-3 protein beta/alpha,12600000,11800000,10500000,11600000,13200000,12400000,11633333.3333333,12400000,1.06590257879656,0.092075584898379
P31948,STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1,11800000,12000000,13000000,12000000,13200000,12800000,12266666.6666667,12666666.6666667,1.03260869565217,0.0462936522739349
P31949,S10AB_HUMAN,S100A11,Protein S100-A11,2280000,1910000,1570000,1810000,2190000,1820000,1920000,1940000,1.01041666666667,0.0149503414659716
P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,14100000,15200000,14700000,15000000,15100000,16900000,14666666.6666667,15666666.6666667,1.06818181818182,0.09515723304034
P32121,ARRB2_HUMAN,ARRB2,Beta-arrestin-2,554614,570475,658003,505078,449318,391672,594364,448689.333333333,0.754906645310506,-0.405629848694553
P32321,DCTD_HUMAN,DCTD,Deoxycytidylate deaminase,243261,199368,196077,213381,246045,245656,212902,235027.333333333,1.10392261854437,0.142639047338064
P32929,CGL_HUMAN,CTH,Cystathionine gamma-lyase,513743,551059,536021,501798,622732,602949,533607.666666667,575826.333333333,1.07911930300852,0.109854372095693
P32969,RL9_HUMAN,RPL9,Large ribosomal subunit protein uL6,5630000,6300000,6800000,6000000,5910000,5340000,6243333.33333333,5750000,0.92098238120662,-0.118754537690152
P33121,ACSL1_HUMAN,ACSL1,Long-chain-fatty-acid--CoA ligase 1,635745,448171,674956,614789,525700,631463,586290.666666667,590650.666666667,1.00743658435634,0.0106890275233835
P33176,KINH_HUMAN,KIF5B,Kinesin-1 heavy chain,3420000,3460000,3320000,3440000,3430000,3710000,3400000,3526666.66666667,1.03725490196078,0.0527704752551676
P33240,CSTF2_HUMAN,CSTF2,Cleavage stimulation factor subunit 2,1290000,921172,865499,1260000,875529,901794,1025557,1012441,0.98721085224907,-0.0185698409998476
P33316,DUT_HUMAN,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",6750000,7070000,6890000,8110000,8080000,8590000,6903333.33333333,8260000,1.19652341863834,0.25884863392009
P33552,CKS2_HUMAN,CKS2,Cyclin-dependent kinases regulatory subunit 2,756000,756000,756000,977531,977531,977531,756000,977531,1.29303042328042,0.370756220236671
P33908,MA1A1_HUMAN,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",155691,155691,186175,1,1,1,165852.333333333,1,0.00000602945994127306,-17.3395397836068
P33981,TTK_HUMAN,TTK,Dual specificity protein kinase TTK,119694,119694,119694,198722,124869,125987,119694,149859.333333333,1.25202042987396,0.324258103674181
P33991,MCM4_HUMAN,MCM4,DNA replication licensing factor MCM4,6690000,6090000,6080000,6690000,6230000,6610000,6286666.66666667,6510000,1.0355249204666,0.0503622732116951
P33992,MCM5_HUMAN,MCM5,DNA replication licensing factor MCM5,5390000,5590000,4900000,5110000,5470000,4760000,5293333.33333333,5113333.33333333,0.965994962216625,-0.0499124296400243
P33993,MCM7_HUMAN,MCM7,DNA replication licensing factor MCM7,5400000,5320000,4960000,5780000,5490000,5850000,5226666.66666667,5706666.66666667,1.09183673469388,0.126757142285939
P34896,GLYC_HUMAN,SHMT1,"Serine hydroxymethyltransferase, cytosolic",911266,926079,947009,1260000,1070000,1180000,928118,1170000,1.26061556827903,0.334128384868604
P34897,GLYM_HUMAN,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",12400000,16900000,12400000,15900000,15300000,13000000,13900000,14733333.3333333,1.05995203836931,0.0839989859467681
